scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t,data_gen_t,compute_t,comm_t,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
w,4,9100000,36400000,0,5539.620757102966,40437898,5.491495132446289,22158.483028411865,4030.5960178375244,4800.44150352478,316.972017288208,5193.098068237305,4805.922269821167,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,1,4951.993763446808,40437898,4.643678665161133,22158.483028411865,4030.5960178375244,283.4606170654297,316.972017288208,4669.577360153198,288.09285163879395,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,2,4470.942795276642,40437898,4.708051681518555,22158.483028411865,4030.5960178375244,8.214235305786133,316.972017288208,4463.625431060791,12.911558151245117,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,3,4563.425183296204,40437898,4.323244094848633,22158.483028411865,4030.5960178375244,126.43694877624512,316.972017288208,4438.089847564697,130.751371383667,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,4,4478.591501712799,40437898,4.726648330688477,22158.483028411865,4030.5960178375244,26.31831169128418,316.972017288208,4454.846620559692,31.035661697387695,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,5,4535.1791977882385,40437898,4.205942153930664,22158.483028411865,4030.5960178375244,11.89422607421875,316.972017288208,4524.373769760132,16.091108322143555,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,6,4515.728414058685,40437898,4.378080368041992,22158.483028411865,4030.5960178375244,95.70050239562988,316.972017288208,4421.310901641846,100.06976127624512,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,7,4596.087157726288,40437898,5.045413970947266,22158.483028411865,4030.5960178375244,58.52460861206055,316.972017288208,4540.957927703857,63.56024742126465,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,8,4966.058969497681,40437898,4.548788070678711,22158.483028411865,4030.5960178375244,172.64413833618164,316.972017288208,4793.447732925415,177.18172073364258,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
w,4,9100000,36400000,9,4476.261496543884,40437898,5.891084671020508,22158.483028411865,4030.5960178375244,36.124467849731445,316.972017288208,4440.91796875,42.00625419616699,10240,22158.483028411865,221.58483028411865,0.0036938878908963206,0.0002,0.0038938878908963206
