scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,1,4550000,4550000,0,1590.7211303710938,5056602,0.15909736156463622,1590.7211303710938
s,1,4550000,4550000,1,1622.5733757019043,5056602,0.16227107048034667,1622.5733757019043
s,1,4550000,4550000,2,1601.5212535858154,5056602,0.16016364097595215,1622.5733757019043
s,1,4550000,4550000,3,1597.2874164581299,5056602,0.15973968505859376,1622.5733757019043
s,1,4550000,4550000,4,1595.3028202056885,5056602,0.15954277515411378,1622.5733757019043
s,1,4550000,4550000,5,1598.4222888946533,5056602,0.159852933883667,1622.5733757019043
s,1,4550000,4550000,6,1593.7960147857666,5056602,0.159391188621521,1622.5733757019043
s,1,4550000,4550000,7,1595.3764915466309,5056602,0.15954973697662353,1622.5733757019043
s,1,4550000,4550000,8,1594.6035385131836,5056602,0.15947179794311522,1622.5733757019043
s,1,4550000,4550000,9,1595.4101085662842,5056602,0.15955183506011963,1622.5733757019043
