scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,4,1137500,4550000,0,523.8332748413086,5057786,0.05249102115631103,523.7953662872314
s,4,1137500,4550000,1,496.2751269340515,5057786,0.04971613883972168,523.7953662872314
s,4,1137500,4550000,2,496.8019723892212,5057786,0.04977173805236816,523.7953662872314
s,4,1137500,4550000,3,492.28060245513916,5057786,0.049323201179504395,523.7953662872314
s,4,1137500,4550000,4,499.69470500946045,5057786,0.050087356567382814,523.7953662872314
s,4,1137500,4550000,5,500.5149245262146,5057786,0.05014963150024414,523.7953662872314
s,4,1137500,4550000,6,491.81896448135376,5057786,0.04930093288421631,523.7953662872314
s,4,1137500,4550000,7,491.13601446151733,5057786,0.04920823574066162,523.7953662872314
s,4,1137500,4550000,8,490.5956983566284,5057786,0.04915997982025146,523.7953662872314
s,4,1137500,4550000,9,494.2088723182678,5057786,0.049520254135131836,523.7953662872314
