scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,16,284375,4550000,0,141.3607895374298,5053413,0.014296674728393554,141.35479927062988
s,16,284375,4550000,1,119.3782091140747,5053413,0.01208338737487793,141.35479927062988
s,16,284375,4550000,2,116.50069057941437,5053413,0.011802959442138671,141.35479927062988
s,16,284375,4550000,3,113.4842038154602,5053413,0.011504769325256348,141.35479927062988
s,16,284375,4550000,4,123.14365804195404,5053413,0.012469935417175292,141.35479927062988
s,16,284375,4550000,5,119.57016587257385,5053413,0.012109947204589844,141.35479927062988
s,16,284375,4550000,6,122.41096794605255,5053413,0.01239931583404541,141.35479927062988
s,16,284375,4550000,7,114.81998860836029,5053413,0.011627697944641113,141.35479927062988
s,16,284375,4550000,8,113.96773159503937,5053413,0.01154932975769043,141.35479927062988
s,16,284375,4550000,9,113.34829032421112,5053413,0.01148672103881836,141.35479927062988
