scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,4,1137500,4550000,0,436.71417236328125,5057786,0.043763160705566406,436.62023544311523
s,4,1137500,4550000,1,413.50412368774414,5057786,0.04143364429473877,436.62023544311523
s,4,1137500,4550000,2,414.04420137405396,5057786,0.04149127006530762,436.62023544311523
s,4,1137500,4550000,3,413.46102952957153,5057786,0.041443705558776855,436.62023544311523
s,4,1137500,4550000,4,417.9636240005493,5057786,0.041897153854370116,436.62023544311523
s,4,1137500,4550000,5,412.98413276672363,5057786,0.0413780927658081,436.62023544311523
s,4,1137500,4550000,6,418.6443090438843,5057786,0.04195370674133301,436.62023544311523
s,4,1137500,4550000,7,417.16790199279785,5057786,0.041797542572021486,436.62023544311523
s,4,1137500,4550000,8,428.16323041915894,5057786,0.04289844036102295,436.62023544311523
s,4,1137500,4550000,9,411.4512801170349,5057786,0.04123060703277588,436.62023544311523
