scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,32,142187,4550000,0,100.21765530109406,5056177,19.45328712463379,3206.9649696350098,205.64889907836914,274.31774139404297
s,32,142187,4550000,1,87.08333224058151,5056177,21.474361419677734,3206.9649696350098,205.64889907836914,11.545896530151367
s,32,142187,4550000,2,79.84040677547455,5056177,17.638444900512695,3206.9649696350098,205.64889907836914,7.952451705932617
s,32,142187,4550000,3,81.11913502216339,5056177,27.308940887451172,3206.9649696350098,205.64889907836914,12.462854385375977
s,32,142187,4550000,4,81.01127296686172,5056177,19.847869873046875,3206.9649696350098,205.64889907836914,10.723114013671875
s,32,142187,4550000,5,78.3955380320549,5056177,17.30942726135254,3206.9649696350098,205.64889907836914,9.51528549194336
s,32,142187,4550000,6,76.2714147567749,5056177,18.97287368774414,3206.9649696350098,205.64889907836914,4.930973052978516
s,32,142187,4550000,7,91.496542096138,5056177,15.955924987792969,3206.9649696350098,205.64889907836914,8.746862411499023
s,32,142187,4550000,8,84.30849015712738,5056177,16.71743392944336,3206.9649696350098,205.64889907836914,14.453887939453125
s,32,142187,4550000,9,89.57154303789139,5056177,20.99752426147461,3206.9649696350098,205.64889907836914,5.806684494018555
