scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,16,284375,4550000,0,65.32517075538635,1137500,0.09557969570159912,64.2552375793457
s,16,284375,4550000,1,61.78411841392517,1137500,0.08027827739715576,64.2552375793457
s,16,284375,4550000,2,63.47981095314026,1137500,0.07720630168914795,64.2552375793457
s,16,284375,4550000,3,65.74708223342896,1137500,0.07637467384338378,65.45329093933105
s,16,284375,4550000,4,62.41680681705475,1137500,0.07737579345703124,65.45329093933105
s,16,284375,4550000,5,66.33658707141876,1137500,0.07532308101654053,66.03503227233887
s,16,284375,4550000,6,61.12539768218994,1137500,0.07694096565246582,66.03503227233887
s,16,284375,4550000,7,66.71714782714844,1137500,0.07647166252136231,66.97750091552734
s,16,284375,4550000,8,62.877342104911804,1137500,0.07767202854156494,66.97750091552734
s,16,284375,4550000,9,63.45699727535248,1137500,0.07433056831359863,66.97750091552734
