scaling,world,rows,max_value,rank,avg_t,tot_l
s,2,2275000,4550000,0,702.5020122528076,9100000
s,2,2275000,4550000,1,707.1903944015503,9100000
s,2,2275000,4550000,2,492.2715425491333,9100000
s,2,2275000,4550000,3,489.76898193359375,9100000
s,2,2275000,4550000,4,494.4499731063843,9100000
s,2,2275000,4550000,5,487.1175289154053,9100000
s,2,2275000,4550000,6,485.8626127243042,9100000
s,2,2275000,4550000,7,488.3582592010498,9100000
s,2,2275000,4550000,8,487.12801933288574,9100000
s,2,2275000,4550000,9,566.734790802002,9100000
