scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,2,2275000,4550000,0,709.9168300628662,9100000,0.48532259464263916,709.8009586334229
s,2,2275000,4550000,1,488.85083198547363,9100000,0.4297328948974609,709.8009586334229
s,2,2275000,4550000,2,494.43089962005615,9100000,0.4294973611831665,709.8009586334229
s,2,2275000,4550000,3,493.25716495513916,9100000,0.43536412715911865,709.8009586334229
s,2,2275000,4550000,4,505.4337978363037,9100000,0.43469738960266113,709.8009586334229
s,2,2275000,4550000,5,500.35715103149414,9100000,0.43130717277526853,709.8009586334229
s,2,2275000,4550000,6,508.5102319717407,9100000,0.4373918056488037,709.8009586334229
s,2,2275000,4550000,7,515.9885883331299,9100000,0.43907966613769533,709.8009586334229
s,2,2275000,4550000,8,517.2144174575806,9100000,0.4431328535079956,709.8009586334229
s,2,2275000,4550000,9,519.2508697509766,9100000,0.43785016536712645,709.8009586334229
