scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,4,1137500,4550000,0,381.844699382782,4550000,2446.1984634399414,1527.378797531128,39.513349533081055,7.388114929199219
s,4,1137500,4550000,1,223.3947515487671,4550000,2177.342176437378,1527.378797531128,39.513349533081055,2.262115478515625
s,4,1137500,4550000,2,243.3563470840454,4550000,2214.9035930633545,1527.378797531128,39.513349533081055,4.35948371887207
s,4,1137500,4550000,3,229.94834184646606,4550000,2147.718667984009,1527.378797531128,39.513349533081055,10.880708694458008
s,4,1137500,4550000,4,244.36265230178833,4550000,2272.137403488159,1527.378797531128,39.513349533081055,29.282331466674805
s,4,1137500,4550000,5,239.12501335144043,4550000,2335.6528282165527,1527.378797531128,39.513349533081055,35.144805908203125
s,4,1137500,4550000,6,257.9208016395569,4550000,2255.981683731079,1527.378797531128,39.513349533081055,0.40411949157714844
s,4,1137500,4550000,7,243.02983283996582,4550000,2235.9468936920166,1527.378797531128,39.513349533081055,272.08590507507324
s,4,1137500,4550000,8,249.87632036209106,4550000,2267.009496688843,1527.378797531128,39.513349533081055,71.14386558532715
s,4,1137500,4550000,9,229.3761968612671,4550000,2200.5650997161865,1527.378797531128,39.513349533081055,42.601823806762695
