scaling,world,rows,max_value,rank,avg_t,tot_l
s,4,1137500,4550000,0,204.66744899749756,4550000
s,4,1137500,4550000,1,226.3866662979126,4550000
s,4,1137500,4550000,2,245.0597882270813,4550000
s,4,1137500,4550000,3,231.12452030181885,4550000
s,4,1137500,4550000,4,246.72144651412964,4550000
s,4,1137500,4550000,5,228.55913639068604,4550000
s,4,1137500,4550000,6,246.3056445121765,4550000
s,4,1137500,4550000,7,229.8552393913269,4550000
s,4,1137500,4550000,8,249.16934967041016,4550000
s,4,1137500,4550000,9,230.98593950271606,4550000
