scaling,world,rows,max_value,rank,avg_t,tot_l
s,4,1137500,4550000,0,201.76571607589722,4550000
s,4,1137500,4550000,1,231.89043998718262,4550000
s,4,1137500,4550000,2,254.68981266021729,4550000
s,4,1137500,4550000,3,233.29871892929077,4550000
s,4,1137500,4550000,4,243.40707063674927,4550000
s,4,1137500,4550000,5,230.6419014930725,4550000
s,4,1137500,4550000,6,243.64888668060303,4550000
s,4,1137500,4550000,7,229.74681854248047,4550000
s,4,1137500,4550000,8,242.21783876419067,4550000
s,4,1137500,4550000,9,230.56268692016602,4550000
