scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,8,568750,4550000,0,232.1934700012207,2275000,0.1677919864654541,231.71138763427734
s,8,568750,4550000,1,130.1153302192688,2275000,0.14405829906463624,231.71138763427734
s,8,568750,4550000,2,128.08465957641602,2275000,0.13121340274810792,231.71138763427734
s,8,568750,4550000,3,129.99024987220764,2275000,0.13622722625732422,231.71138763427734
s,8,568750,4550000,4,129.1414499282837,2275000,0.12930853366851808,231.71138763427734
s,8,568750,4550000,5,131.09168410301208,2275000,0.13320977687835694,231.71138763427734
s,8,568750,4550000,6,130.22711873054504,2275000,0.1339841365814209,231.71138763427734
s,8,568750,4550000,7,132.65231251716614,2275000,0.13272440433502197,231.71138763427734
s,8,568750,4550000,8,131.81662559509277,2275000,0.14020068645477296,231.71138763427734
s,8,568750,4550000,9,160.42295098304749,2275000,0.13080430030822754,231.71138763427734
