scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,2,9100000,18200000,0,4144.122242927551,20222454,0.41449728012084963,4144.145727157593
w,2,9100000,18200000,1,4110.031247138977,20222454,0.41107347011566164,4144.145727157593
w,2,9100000,18200000,2,4113.147854804993,20222454,0.4113847494125366,4144.145727157593
w,2,9100000,18200000,3,4120.936036109924,20222454,0.4121582269668579,4144.145727157593
w,2,9100000,18200000,4,4139.442682266235,20222454,0.4140124797821045,4144.145727157593
w,2,9100000,18200000,5,4157.948613166809,20222454,0.4158641338348389,4158.02526473999
w,2,9100000,18200000,6,4116.531729698181,20222454,0.41172280311584475,4158.02526473999
w,2,9100000,18200000,7,4177.561283111572,20222454,0.4178240537643433,4177.644729614258
w,2,9100000,18200000,8,4095.08216381073,20222454,0.40959007740020753,4177.644729614258
w,2,9100000,18200000,9,4095.056653022766,20222454,0.4095731735229492,4177.644729614258
