scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,8,9100000,72800000,0,4935.521721839905,80888085,1.455545425415039,39484.17377471924,1826.3475894927979,99.6694564819336
w,8,9100000,72800000,1,4943.332880735397,80888085,1.3110637664794922,39546.66304588318,1826.3475894927979,74.20134544372559
w,8,9100000,72800000,2,4943.703204393387,80888085,1.3551712036132812,39549.625635147095,1826.3475894927979,67.88372993469238
w,8,9100000,72800000,3,4954.947918653488,80888085,1.42669677734375,39639.583349227905,1826.3475894927979,83.76789093017578
w,8,9100000,72800000,4,4959.290981292725,80888085,1.4545917510986328,39674.3278503418,1826.3475894927979,54.06999588012695
w,8,9100000,72800000,5,4996.801972389221,80888085,1.4519691467285156,39974.41577911377,1826.3475894927979,83.5576057434082
w,8,9100000,72800000,6,4946.661442518234,80888085,1.3883113861083984,39974.41577911377,1826.3475894927979,58.16793441772461
w,8,9100000,72800000,7,4942.380845546722,80888085,1.2316703796386719,39974.41577911377,1826.3475894927979,27.64439582824707
w,8,9100000,72800000,8,5026.401847600937,80888085,1.444101333618164,40211.214780807495,1826.3475894927979,131.15644454956055
w,8,9100000,72800000,9,4948.0710327625275,80888085,1.5532970428466797,40211.214780807495,1826.3475894927979,79.67972755432129
