rank,avg_t,tot_l,time1,time2,time3,time4,time5,time6,time7,elapsed_t,max_t,com_init_t,barrier_t
0,570.2598094940186,7,0.00011587142944335938,2.5272369384765625e-05,6.246566772460938e-05,0.0005490779876708984,0.005913734436035156,0.048288583755493164,0.5152711868286133,3.4890174865722656,570.2598094940186,26.531219482421875,0.0286102294921875
1,518.6083316802979,7,4.6253204345703125e-05,1.3589859008789062e-05,6.103515625e-05,0.00037384033203125,0.005571126937866211,0.04727959632873535,0.46522951126098633,0.11610984802246094,570.2598094940186,26.531219482421875,0.021457672119140625
2,515.923023223877,7,4.7206878662109375e-05,1.3589859008789062e-05,5.221366882324219e-05,0.00037550926208496094,0.005539894104003906,0.0468902587890625,0.4629669189453125,0.11730194091796875,570.2598094940186,26.531219482421875,0.019311904907226562
3,517.3978805541992,7,4.863739013671875e-05,1.4066696166992188e-05,4.982948303222656e-05,0.0003757476806640625,0.005536794662475586,0.0471649169921875,0.4641726016998291,0.11706352233886719,570.2598094940186,26.531219482421875,0.018358230590820312
4,517.2395706176758,7,4.76837158203125e-05,1.3589859008789062e-05,5.0067901611328125e-05,0.00037598609924316406,0.0055730342864990234,0.04725193977355957,0.46389245986938477,0.11014938354492188,570.2598094940186,26.531219482421875,0.018358230590820312
5,518.6686515808105,7,4.9114227294921875e-05,1.5020370483398438e-05,5.0067901611328125e-05,0.0003762245178222656,0.005562305450439453,0.047010183334350586,0.46557092666625977,0.11587142944335938,570.2598094940186,26.531219482421875,0.017404556274414062
6,518.3913707733154,7,4.601478576660156e-05,1.3589859008789062e-05,4.9114227294921875e-05,0.0003733634948730469,0.00559234619140625,0.047217607498168945,0.46506190299987793,0.1125335693359375,570.2598094940186,26.531219482421875,0.018596649169921875
7,534.9650382995605,7,4.8160552978515625e-05,1.4066696166992188e-05,4.982948303222656e-05,0.000377655029296875,0.00593256950378418,0.047206878662109375,0.48129701614379883,0.14019012451171875,570.2598094940186,26.531219482421875,0.019550323486328125
8,541.5894985198975,7,5.626678466796875e-05,2.09808349609375e-05,7.43865966796875e-05,0.0006053447723388672,0.008670806884765625,0.06881952285766602,0.4633023738861084,0.12302398681640625,570.2598094940186,26.531219482421875,0.02193450927734375
9,520.1840400695801,7,4.5299530029296875e-05,1.4543533325195312e-05,5.5789947509765625e-05,0.00037860870361328125,0.0055887699127197266,0.04715847969055176,0.4669075012207031,0.11467933654785156,570.2598094940186,26.531219482421875,0.018358230590820312
