scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,64,9100000,582400000,0,5162.745054811239,647102085,2.607107162475586,330415.6835079193,75971.28820419312,197.6337432861328
w,64,9100000,582400000,1,5321.688640862703,647102085,2.6085376739501953,340588.073015213,75971.28820419312,444.9505805969238
w,64,9100000,582400000,2,5202.22457870841,647102085,2.58636474609375,340588.073015213,75971.28820419312,132.03167915344238
w,64,9100000,582400000,3,5138.562049716711,647102085,2.422332763671875,340588.073015213,75971.28820419312,158.98418426513672
w,64,9100000,582400000,4,5188.580363988876,647102085,2.6051998138427734,340588.073015213,75971.28820419312,205.76763153076172
w,64,9100000,582400000,5,5200.922962278128,647102085,2.725839614868164,340588.073015213,75971.28820419312,162.7497673034668
w,64,9100000,582400000,6,5220.698442310095,647102085,2.371549606323242,340588.073015213,75971.28820419312,250.7038116455078
w,64,9100000,582400000,7,5197.644352912903,647102085,2.482891082763672,340588.073015213,75971.28820419312,190.6294822692871
w,64,9100000,582400000,8,5436.781033873558,647102085,2.437591552734375,347953.9861679077,75971.28820419312,405.1532745361328
w,64,9100000,582400000,9,5405.382011085749,647102085,2.5124549865722656,347953.9861679077,75971.28820419312,378.7093162536621
