rank,avg_t,tot_l,time1,time2,time3,time4,time5,time6,time7,elapsed_t,max_t,com_init_t,barrier_t
0,543.9181327819824,7,0.0001277923583984375,2.384185791015625e-05,6.818771362304688e-05,0.0005366802215576172,0.00619816780090332,0.05086374282836914,0.48606252670288086,3.4723281860351562,543.9181327819824,56.73837661743164,0.031232833862304688
1,540.4794216156006,7,4.887580871582031e-05,1.4781951904296875e-05,6.365776062011719e-05,0.00038814544677734375,0.005628347396850586,0.04952216148376465,0.48477911949157715,0.12969970703125,543.9181327819824,56.73837661743164,0.019788742065429688
2,539.6974086761475,7,4.792213439941406e-05,1.4066696166992188e-05,5.340576171875e-05,0.0003905296325683594,0.005643129348754883,0.04898238182067871,0.4845311641693115,0.118255615234375,543.9181327819824,56.73837661743164,0.016450881958007812
3,540.2359962463379,7,4.839897155761719e-05,1.3113021850585938e-05,5.1975250244140625e-05,0.0003895759582519531,0.005665302276611328,0.04974031448364258,0.48429083824157715,0.11849403381347656,543.9181327819824,56.73837661743164,0.019073486328125
4,541.5787696838379,7,5.1021575927734375e-05,1.4543533325195312e-05,5.1975250244140625e-05,0.0003895759582519531,0.0056803226470947266,0.04987215995788574,0.48548102378845215,0.15807151794433594,543.9181327819824,56.73837661743164,0.017642974853515625
5,541.1686897277832,7,4.863739013671875e-05,1.4543533325195312e-05,5.9604644775390625e-05,0.00039577484130859375,0.0056476593017578125,0.0492093563079834,0.48575544357299805,0.11968612670898438,543.9181327819824,56.73837661743164,0.01811981201171875
6,543.4889793395996,7,5.0067901611328125e-05,1.4781951904296875e-05,5.173683166503906e-05,0.00040149688720703125,0.005625247955322266,0.049300193786621094,0.4880082607269287,0.11992454528808594,543.9181327819824,56.73837661743164,0.018596649169921875
7,539.0102863311768,7,4.863739013671875e-05,1.5497207641601562e-05,5.269050598144531e-05,0.0003902912139892578,0.005667686462402344,0.04911470413208008,0.4836843013763428,0.118255615234375,543.9181327819824,56.73837661743164,0.0171661376953125
8,539.1302108764648,7,4.935264587402344e-05,1.5020370483398438e-05,5.245208740234375e-05,0.00038814544677734375,0.0056018829345703125,0.049309492111206055,0.48367810249328613,0.11563301086425781,543.9181327819824,56.73837661743164,0.0171661376953125
9,539.848804473877,7,4.935264587402344e-05,1.5020370483398438e-05,5.125999450683594e-05,0.0004432201385498047,0.005620241165161133,0.04959750175476074,0.4840354919433594,0.11706352233886719,543.9181327819824,56.73837661743164,0.017404556274414062
