rank,avg_t,tot_l,time1,time2,time3,time4,time5,time6,time7,elapsed_t,max_t,com_init_t,barrier_t
0,531.4719676971436,7,0.00011801719665527344,2.3365020751953125e-05,6.604194641113281e-05,0.0005311965942382812,0.0059397220611572266,0.04939842224121094,0.4753575325012207,3.4606456756591797,531.4719676971436,52.944183349609375,0.03147125244140625
1,528.0632972717285,7,4.4345855712890625e-05,1.3589859008789062e-05,6.318092346191406e-05,0.00038886070251464844,0.005550384521484375,0.047089338302612305,0.47487783432006836,0.11849403381347656,531.4719676971436,52.944183349609375,0.021457672119140625
2,527.3499488830566,7,4.744529724121094e-05,1.3113021850585938e-05,5.2928924560546875e-05,0.0003826618194580078,0.005576610565185547,0.04689764976501465,0.47434258460998535,0.11730194091796875,531.4719676971436,52.944183349609375,0.022172927856445312
3,528.4407138824463,7,4.649162292480469e-05,1.3589859008789062e-05,5.1021575927734375e-05,0.00038242340087890625,0.005543231964111328,0.04720497131347656,0.47516345977783203,0.11396408081054688,531.4719676971436,52.944183349609375,0.017642974853515625
4,527.1737575531006,7,4.458427429199219e-05,1.3113021850585938e-05,5.125999450683594e-05,0.0003871917724609375,0.005560398101806641,0.04645109176635742,0.4746284484863281,0.11444091796875,531.4719676971436,52.944183349609375,0.020742416381835938
5,529.7954082489014,7,4.792213439941406e-05,1.52587890625e-05,5.9604644775390625e-05,0.0003905296325683594,0.0055925846099853516,0.04691290855407715,0.47673892974853516,0.11873245239257812,531.4719676971436,52.944183349609375,0.019073486328125
6,528.7747383117676,7,4.4345855712890625e-05,1.4066696166992188e-05,6.270408630371094e-05,0.00038695335388183594,0.00562596321105957,0.04730701446533203,0.4752991199493408,0.14138221740722656,531.4719676971436,52.944183349609375,0.016689300537109375
7,527.5242328643799,7,4.601478576660156e-05,1.430511474609375e-05,5.0067901611328125e-05,0.00038695335388183594,0.0055658817291259766,0.046926021575927734,0.4745006561279297,0.11515617370605469,531.4719676971436,52.944183349609375,0.018358230590820312
8,527.5712013244629,7,4.673004150390625e-05,1.3828277587890625e-05,5.054473876953125e-05,0.0004088878631591797,0.005574941635131836,0.04741525650024414,0.4740273952484131,0.1125335693359375,531.4719676971436,52.944183349609375,0.017404556274414062
9,538.2974147796631,7,4.673004150390625e-05,1.3828277587890625e-05,4.982948303222656e-05,0.00041604042053222656,0.005568504333496094,0.0472564697265625,0.4849071502685547,0.12087821960449219,538.2974147796631,52.944183349609375,0.020265579223632812
