scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,16,9100000,145600000,0,6851.2928783893585,161774191,16.951560974121094,109620.68605422974,328.0043601989746,573.3678340911865
w,16,9100000,145600000,1,5616.295859217644,161774191,13.181209564208984,109620.68605422974,328.0043601989746,841.4647579193115
w,16,9100000,145600000,2,5383.216843008995,161774191,13.957977294921875,109620.68605422974,328.0043601989746,550.2572059631348
w,16,9100000,145600000,3,5448.100343346596,161774191,13.627767562866211,109620.68605422974,328.0043601989746,702.8975486755371
w,16,9100000,145600000,4,5400.528833270073,161774191,17.28224754333496,109620.68605422974,328.0043601989746,587.6865386962891
w,16,9100000,145600000,5,5557.958737015724,161774191,13.936996459960938,109620.68605422974,328.0043601989746,782.9787731170654
w,16,9100000,145600000,6,5347.309976816177,161774191,16.636371612548828,109620.68605422974,328.0043601989746,440.4559135437012
w,16,9100000,145600000,7,5358.035355806351,161774191,14.498710632324219,109620.68605422974,328.0043601989746,431.7615032196045
w,16,9100000,145600000,8,5376.5047043561935,161774191,13.645648956298828,109620.68605422974,328.0043601989746,614.0990257263184
w,16,9100000,145600000,9,5396.405026316643,161774191,15.894174575805664,109620.68605422974,328.0043601989746,537.4786853790283
