scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,2,9100000,18200000,0,2793.7235832214355,36400000,1.752053427696228,2793.7073707580566
w,2,9100000,18200000,1,1920.5760955810547,36400000,1.5587433576583862,2793.7073707580566
w,2,9100000,18200000,2,1926.2313842773438,36400000,1.5640599012374878,2793.7073707580566
w,2,9100000,18200000,3,1911.1311435699463,36400000,1.5670849323272704,2793.7073707580566
w,2,9100000,18200000,4,2019.4669961929321,36400000,1.6333481550216675,2793.7073707580566
w,2,9100000,18200000,5,2057.036280632019,36400000,1.5829976320266723,2793.7073707580566
w,2,9100000,18200000,6,1924.567461013794,36400000,1.5616560220718383,2793.7073707580566
w,2,9100000,18200000,7,1926.0021448135376,36400000,1.5704410076141357,2793.7073707580566
w,2,9100000,18200000,8,1929.3861389160156,36400000,1.5640830039978026,2793.7073707580566
w,2,9100000,18200000,9,1936.269760131836,36400000,1.5655927181243896,2793.7073707580566
