scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,2,9100000,18200000,0,2986.3216876983643,36400000,2.0195014476776123,2986.2539768218994
w,2,9100000,18200000,1,2059.642791748047,36400000,1.743050217628479,2986.2539768218994
w,2,9100000,18200000,2,2042.4275398254395,36400000,1.7440709590911865,2986.2539768218994
w,2,9100000,18200000,3,2046.0978746414185,36400000,1.751466989517212,2986.2539768218994
w,2,9100000,18200000,4,2068.525552749634,36400000,1.818051314353943,2986.2539768218994
w,2,9100000,18200000,5,2108.6723804473877,36400000,1.7506094217300414,2986.2539768218994
w,2,9100000,18200000,6,2056.5407276153564,36400000,1.7653706312179565,2986.2539768218994
w,2,9100000,18200000,7,2059.5613718032837,36400000,1.738818359375,2986.2539768218994
w,2,9100000,18200000,8,2104.649543762207,36400000,1.748320960998535,2986.2539768218994
w,2,9100000,18200000,9,2079.4774293899536,36400000,1.7488802433013917,2986.2539768218994
