scaling,world,rows,max_value,rank,avg_t,tot_l
w,4,9100000,36400000,0,1527.6564955711365,36400000
w,4,9100000,36400000,1,1952.9427886009216,36400000
w,4,9100000,36400000,2,1932.4502348899841,36400000
w,4,9100000,36400000,3,1947.820544242859,36400000
w,4,9100000,36400000,4,1941.7678713798523,36400000
w,4,9100000,36400000,5,1944.621205329895,36400000
w,4,9100000,36400000,6,1944.1874623298645,36400000
w,4,9100000,36400000,7,1936.1799359321594,36400000
w,4,9100000,36400000,8,1937.5733733177185,36400000
w,4,9100000,36400000,9,1937.3895525932312,36400000
