rank,avg_t,tot_l,time1,time2,time3,time4,time5,time6,time7,elapsed_t,max_t,com_init_t,barrier_t
0,486.5758419036865,7,9.250640869140625e-05,2.0265579223632812e-05,8.726119995117188e-05,0.0005273818969726562,0.005265474319458008,0.04517197608947754,0.4353322982788086,0.10538101196289062,486.5758419036865,1.1491775512695312,0.07843971252441406
1,478.1606197357178,7,5.841255187988281e-05,1.2159347534179688e-05,5.3882598876953125e-05,0.0004870891571044922,0.004927635192871094,0.043375492095947266,0.4291679859161377,0.10275840759277344,486.5758419036865,1.1491775512695312,0.06651878356933594
2,479.2182445526123,7,5.745887756347656e-05,1.1920928955078125e-05,4.315376281738281e-05,0.0004930496215820312,0.004862785339355469,0.04347658157348633,0.4301950931549072,0.10633468627929688,486.5758419036865,1.1491775512695312,0.06604194641113281
3,478.43289375305176,7,6.079673767089844e-05,1.239776611328125e-05,4.291534423828125e-05,0.0005016326904296875,0.004847049713134766,0.043346405029296875,0.4295468330383301,0.10657310485839844,486.5758419036865,1.1491775512695312,0.06389617919921875
4,478.8391590118408,7,5.8650970458984375e-05,1.239776611328125e-05,4.458427429199219e-05,0.0004904270172119141,0.0048825740814208984,0.04325532913208008,0.4300196170806885,0.10585784912109375,486.5758419036865,1.1491775512695312,0.0629425048828125
5,477.8463840484619,7,5.888938903808594e-05,1.239776611328125e-05,5.7220458984375e-05,0.000476837158203125,0.004827022552490234,0.042897939682006836,0.42940258979797363,0.10442733764648438,486.5758419036865,1.1491775512695312,0.10013580322265625
6,477.95891761779785,7,5.936622619628906e-05,1.33514404296875e-05,5.626678466796875e-05,0.0004839897155761719,0.0048656463623046875,0.043393611907958984,0.42900681495666504,0.10275840759277344,486.5758419036865,1.1491775512695312,0.0667572021484375
7,477.59532928466797,7,5.602836608886719e-05,1.2874603271484375e-05,5.5789947509765625e-05,0.00046825408935546875,0.004912137985229492,0.04301333427429199,0.4289987087249756,0.13494491577148438,486.5758419036865,1.1491775512695312,0.06628036499023438
8,477.9539108276367,7,6.079673767089844e-05,1.2636184692382812e-05,5.9604644775390625e-05,0.00048613548278808594,0.004891633987426758,0.04321718215942383,0.42914509773254395,0.10418891906738281,486.5758419036865,1.1491775512695312,0.0667572021484375
9,476.9148826599121,7,5.91278076171875e-05,1.3113021850585938e-05,4.100799560546875e-05,0.0004918575286865234,0.004900455474853516,0.042897701263427734,0.4284329414367676,0.102996826171875,486.5758419036865,1.1491775512695312,0.06604194641113281
