channel,collective,msg_size,payload_bytes,latency_p50_ms,latency_p99_ms,latency_mean_ms,throughput_MBps,barrier_latency_ms,reps,unsupported,rank,world_size,N,run_id
ucc,scatter,8,8,0.039518,0.047471,0.040398,0.1931,0.0,20,False,0,4,4,4
ucc,scatter,64,64,0.039537,0.041332,0.039494,1.5437,0.0,20,False,0,4,4,4
ucc,scatter,512,512,0.040452,0.051829,0.041322,12.0706,0.0,20,False,0,4,4,4
ucc,scatter,4096,4096,0.051261,0.075506,0.052795,76.2026,0.0,20,False,0,4,4,4
ucc,scatter,32768,32768,0.075719,0.107449,0.080211,412.7084,0.0,20,False,0,4,4,4
ucc,scatter,262144,262144,0.384737,0.448207,0.389826,649.7941,0.0,20,False,0,4,4,4
ucc,scatter,1048576,1048576,2.327701,2.501538,2.341823,429.6084,0.0,20,False,0,4,4,4
ucc,scatterv,8,4,0.038633,0.045026,0.039062,0.0987,0.0,20,False,0,4,4,4
ucc,scatterv,64,16,0.037599,0.047996,0.038534,0.4058,0.0,20,False,0,4,4,4
ucc,scatterv,512,128,0.0382,0.042505,0.038553,3.1956,0.0,20,False,0,4,4,4
ucc,scatterv,4096,1024,0.040277,0.094376,0.043648,24.2462,0.0,20,False,0,4,4,4
ucc,scatterv,32768,8192,0.08059,0.093301,0.077501,96.9411,0.0,20,False,0,4,4,4
ucc,scatterv,262144,65536,0.2631,0.351686,0.269367,237.5527,0.0,20,False,0,4,4,4
ucc,scatterv,1048576,262144,1.189876,1.456947,1.222354,210.1059,0.0,20,False,0,4,4,4
ucc,gather,8,8,0.115558,0.167631,0.118088,0.066,0.0,20,False,0,4,4,4
ucc,gather,64,64,0.070682,0.122565,0.070216,0.8635,0.0,20,False,0,4,4,4
ucc,gather,512,512,0.086922,0.187627,0.096985,5.6175,0.0,20,False,0,4,4,4
ucc,gather,4096,4096,0.181097,0.190954,0.176038,21.57,0.0,20,False,0,4,4,4
ucc,gather,32768,32768,0.147101,0.179281,0.153596,212.4397,0.0,20,False,0,4,4,4
ucc,gather,262144,262144,0.283445,0.369453,0.292296,882.0046,0.0,20,False,0,4,4,4
ucc,gather,1048576,1048576,0.776779,0.846785,0.780239,1287.3668,0.0,20,False,0,4,4,4
ucc,allgather,8,8,0.172338,0.204751,0.16879,0.0443,0.0,20,False,0,4,4,4
ucc,allgather,64,64,0.143291,0.193437,0.135317,0.426,0.0,20,False,0,4,4,4
ucc,allgather,512,512,0.204118,0.292505,0.204479,2.3922,0.0,20,False,0,4,4,4
ucc,allgather,4096,4096,0.284731,0.419205,0.301551,13.7191,0.0,20,False,0,4,4,4
ucc,allgather,32768,32768,0.354062,0.412325,0.333539,88.2614,0.0,20,False,0,4,4,4
ucc,allgather,262144,262144,0.556631,0.641778,0.560518,449.1302,0.0,20,False,0,4,4,4
ucc,allgather,1048576,1048576,1.740583,2.23592,1.71083,574.5202,0.0,20,False,0,4,4,4
ucc,reduce,8,8,0.08591,0.114388,0.067728,0.0888,0.0,20,False,0,4,4,4
ucc,broadcast,8,8,0.027542,0.050086,0.032224,0.277,0.0,20,False,0,4,4,4
ucc,broadcast,64,64,0.02879,0.044358,0.029578,2.12,0.0,20,False,0,4,4,4
ucc,broadcast,512,512,0.038949,0.047831,0.039872,12.5365,0.0,20,False,0,4,4,4
ucc,broadcast,4096,4096,0.04252,0.081139,0.045218,91.8675,0.0,20,False,0,4,4,4
ucc,broadcast,32768,32768,0.049699,0.057587,0.050588,628.7899,0.0,20,False,0,4,4,4
ucc,broadcast,262144,262144,0.080077,0.116649,0.082514,3122.0141,0.0,20,False,0,4,4,4
ucc,broadcast,1048576,1048576,0.225755,0.260677,0.223869,4429.5823,0.0,20,False,0,4,4,4
ucc,allreduce,8,8,0.178589,0.23232,0.177819,0.0427,0.0,20,False,0,4,4,4
ucc,barrier,0,0,0.078951,0.193824,0.077047,0.0,0.078951,20,False,0,4,4,4
